STARTING PORTFOLIO BACKTEST - Initial Capital: Rs. 500000.0
--------------------------------------------------
[2019-02-07] SELL ADANIENSOL | Reason: TRAILING STOP        | PnL: Rs.   116.00
[2019-02-07] SELL ALKEM      | Reason: TRAILING STOP        | PnL: Rs.   -54.60
[2019-02-07] BUY  ASTRAL     | Qty:   95 | Cost: Rs. 49780.00
[2019-02-07] BUY  ASTRAZEN   | Qty:   27 | Cost: Rs. 48456.90
[2019-02-07] BUY  BAJAJHLDNG | Qty:   16 | Cost: Rs. 49869.60
[2019-02-07] BUY  BORORENEW  | Qty:  686 | Cost: Rs. 49975.10
[2019-02-07] SELL CESC       | Reason: TRAILING STOP        | PnL: Rs.  2166.00
[2019-02-08] SELL ABBOTINDIA | Reason: TRAILING STOP        | PnL: Rs.  -466.20
[2019-02-08] BUY  AIAENG     | Qty:   30 | Cost: Rs. 49836.00
[2019-02-08] SELL ASTRAL     | Reason: HARD STOP (1%)       | PnL: Rs. -2170.75
[2019-02-08] SELL ATGL       | Reason: TRAILING STOP        | PnL: Rs.  -286.00
[2019-02-11] BUY  AJANTPHARM | Qty:   74 | Cost: Rs. 49472.70
[2019-02-11] SELL BAJAJHLDNG | Reason: TRAILING STOP        | PnL: Rs.     6.40
[2019-02-11] BUY  BALKRISIND | Qty:   61 | Cost: Rs. 49236.15
[2019-02-11] SELL BANDHANBNK | Reason: TRAILING STOP        | PnL: Rs.  5706.00
[2019-02-11] SELL BORORENEW  | Reason: HARD STOP (1%)       | PnL: Rs.  -857.50
[2019-02-11] BUY  CAPLIPOINT | Qty:  142 | Cost: Rs. 49799.40
[2019-02-11] BUY  CCL        | Qty:  181 | Cost: Rs. 49956.00
[2019-02-12] SELL 3MINDIA    | Reason: TRAILING STOP        | PnL: Rs.  1177.10
[2019-02-12] SELL AIAENG     | Reason: TRAILING STOP        | PnL: Rs.  -211.50
[2019-02-12] BUY  ALLCARGO   | Qty: 1923 | Cost: Rs. 49998.00
[2019-02-12] SELL ASTRAZEN   | Reason: TRAILING STOP        | PnL: Rs.   502.20
[2019-02-12] BUY  BBTC       | Qty:   41 | Cost: Rs. 49126.20
[2019-02-12] BUY  CANFINHOME | Qty:  188 | Cost: Rs. 49773.00
[2019-02-12] SELL CAPLIPOINT | Reason: HARD STOP (1%)       | PnL: Rs. -2186.80
[2019-02-12] BUY  CARBORUNIV | Qty:  146 | Cost: Rs. 49756.80
[2019-02-12] BUY  CASTROLIND | Qty:  327 | Cost: Rs. 49949.25
[2019-02-12] SELL CCL        | Reason: TRAILING STOP        | PnL: Rs.   -90.50
[2019-02-13] BUY  AAVAS      | Qty:   55 | Cost: Rs. 49758.50
[2019-02-13] BUY  ADANIPORTS | Qty:  146 | Cost: Rs. 49880.90
[2019-02-13] SELL AJANTPHARM | Reason: HARD STOP (1%)       | PnL: Rs. -1435.60
[2019-02-13] BUY  ASAHIINDIA | Qty:  195 | Cost: Rs. 49773.75
[2019-02-13] SELL BALKRISIND | Reason: TRAILING STOP        | PnL: Rs.  1451.80
[2019-02-13] BUY  BALRAMCHIN | Qty:  444 | Cost: Rs. 49905.60
[2019-02-13] SELL BBTC       | Reason: TRAILING STOP        | PnL: Rs.  -438.70
[2019-02-13] SELL CANFINHOME | Reason: HARD STOP (1%)       | PnL: Rs. -1701.40
[2019-02-13] SELL CASTROLIND | Reason: HARD STOP (1%)       | PnL: Rs.  -555.90
[2019-02-14] SELL AAVAS      | Reason: TRAILING STOP        | PnL: Rs.   -38.50
[2019-02-14] BUY  ABB        | Qty:   50 | Cost: Rs. 49190.00
[2019-02-14] SELL ASAHIINDIA | Reason: TRAILING STOP        | PnL: Rs.   -29.25
[2019-02-15] SELL ABB        | Reason: TRAILING STOP        | PnL: Rs.  -442.50
[2019-02-15] BUY  ABCAPITAL  | Qty:  621 | Cost: Rs. 49928.40
[2019-02-15] BUY  ABFRL      | Qty:  232 | Cost: Rs. 49891.60
[2019-02-15] SELL ALLCARGO   | Reason: TRAILING STOP        | PnL: Rs.  -480.75
[2019-02-15] BUY  APLAPOLLO  | Qty:  436 | Cost: Rs. 49987.40
